ID,Nama
192681,Bio-Bisnis Tropika
192683,Kewirausahaan Agribisnis
192684,Kepemimpinan Agribisnis
192686,Sistem dan Usaha Agribisnis
192688,Usahatani
192689,Bisnis Internasional
192690,Pembangunan dan Politik Agribisnis
192691,Pemasaran Agribisnis
192692,Studi Kelayakan Agribisnis
192693,Koperasi dan Kelembagaan Agribisnis
189650,Dasar-Dasar Agronomi
189661,Pembiakan Vegetatif
192223,Matematika Keuangan
192224,Metode Statistika Aktuaria I
189654,Lanskap Pertanian
189618,Evolusi dan Biosistematika
189619,Biologi Sel dan Molekuler
189620,Mikrobiologi
189621,Biodiversitas Tumbuhan
189622,Ekologi
189623,Genetika Dasar
189624,Biodiversitas Hewan
189625,Metode Penelitian dan Komunikasi Ilmiah
189626,Interaksi Antar Organisme
189627,Teknik Kultur Sel dan Jaringan
189628,Etologi
189629,Ekofisiologi
189630,Mikroteknik
189631,Ethnobiologi Indonesia
189632,Imunologi dan Virologi
189633,Genetika Mikrob
189634,Mikrobiologi Akuatik
189635,Eksperimen Genetika Mikrob
189636,Biorisiko dan Mikrobiologi
189637,Makrofungi dan Biomaterial
189638,Teknik Biologi Modern
189639,Metabolit dan Bioprospeksi
189640,Teknologi Bioproses
189641,Konservasi Genetik dan Bioforensik
189753,Teori Mikroekonomi I
189755,Teori Makroekonomi I
189775,Filosofi Ekonomi Syariah
189776,Bahasa Arab untuk Ekonomi
189777,Fiqh Muamalah
189779,Sejarah Pemikiran Ekonomi Islam
189780,Ushul Fiqh
189781,Manajemen Syariah
189782,Kewirausahaan Syariah dan Ekonomi Kreatif
189783,Ekonomi Moneter dan Kebanksentralan Syariah
189784,Akuntansi Syariah
189758,Ekonomi Lingkungan
189760,Ekonomi Wisata dan Digital Nomad
189767,Teori Harga Pertanian
189762,Pemasaran dan Analisis Pasar
189763,Kebijakan Pertanian dan Pangan
189765,Ekonomi Pembangunan Berkelanjutan
194988,Student Exchange
194991,Pertukaran Mahasiswa Nusantara
192726,Elektronika Analog
192732,Fisika Sistem Kompleks
192733,Optika dan Fotonika
192734,Metode Karakterisasi Material
192735,Sistem Instrumentasi berbasis Internet
192736,Sensor dan Transduser
192737,Biomaterial
189735,Pertanian Cerdas
189736,Politik Pertanian
192499,Geosains
192500,Meteorologi
192540,Psikologi Umum
192543,Perilaku Konsumen
192544,Pengembangan Karakter
192545,Manajemen Sumberdaya Keluarga
192660,Selam Ilmiah
189730,Algoritme dan Dasar Pemrograman
192284,Rangkaian Digital
189731,Basis Data
189732,Struktur Diskret
192285,Analisis Algoritme
192286,Sistem Operasi
192287,Komunikasi Data dan Jaringan Komputer
192289,Kecerdasan Buatan
192290,Sistem Informasi
192561,Berfikir dan Menulis Ilmiah
192562,Komunikasi Pembangunan
192563,Ilmu Penyuluhan dan Komunikasi Inovasi
192564,Kependudukan dan Pembangunan
192565,Ekologi Manusia
192566,Sosiologi Pedesaan
192567,Pengembangan Masyarakat
192568,Gender dan Pembangunan
192569,Metodologi Penelitian Sosial
192570,Perubahan Sosial
192571,Media Siaran dan Komunikasi Digital
192572,Komunikasi Bisnis dan Hubungan Masyarakat
192573,Pengelolaan Kolaboratif Sumberdaya Alam
192574,Kajian Reforma Agraria
192575,"Kelembagaan, Organisasi dan Kepemimpinan"
192576,Masyarakat dan Teknologi
192577,Kelembagaan Ekonomi Pedesaan
192768,Akuntansi dan Keuangan Keberlanjutan
192773,Manajemen Investasi
192774,Manajemen Keuangan Mikro dan Kelembagaan Keuangan
192227,Kalkulus II
192228,Aljabar Linear Dasar
192855,Pengantar Logika Matematika
192229,Matematika Diskret
192230,Komputasi Dasar
192856,Graf Algoritmik
192857,Persamaan Diferensial Biasa
192858,Analisis Kompleks
192859,Pemrograman Tak Linear
192406,Kehutanan Masyarakat
192412,Pengelolaan Hutan Rakyat
192368,Pengetahuan Bahan Pakan
192369,Ilmu Nutrisi Ternak
192375,Nutrisi Unggas Lokal dan Eksotik
189609,Metode Investigasi dan Survey Bawah Air
189656,Dasar-Dasar Kesehatan Tanaman
192823,Agroekologi
192812,Pengantar Ilmu Tanah
192814,Perencanaan Lanskap untuk Pertanian Cerdas
192817,Pertanian Tropis dan Subtropis
189705,K3 Konstruksi dan Lingkungan
189718,Teknik Green Building
189642,Metode Statistika
192630,Metode Pengumpulan Data
192634,Metode Peramalan Deret Waktu
192636,Pengantar Analisis Data Kategorik
192262,Sifat Dasar Biomaterial
192263,Teknologi Biomaterial
192970,Pengolahan Cerdas Hasil Ternak
189797,Peraturan Pangan
189799,Mikrobiologi Pangan
189801,Pengantar Evaluasi Sensori Produk Pangan
189808,Teknologi Pengemasan dan Penyimpanan Pangan
189816,Jaminan Mutu Pangan
189809,Sistem Jaminan Halal
192178,Prinsip Produksi Ternak
192186,Manajamen Halal Produksi Peternakan
192189,Pemuliaan Ternak
